low-bm,low-rf,hi-bm,hi-rf,run,type,low-fidelity,high-fidelity
0.2,0.6,0.37,0.65,3,together,84,0
0.2,0.6,0.37,0.65,4,together,95,0
0.2,0.6,0.37,0.65,5,together,108,0
0.2,0.6,0.37,0.65,6,together,0,55
0.2,0.6,0.37,0.65,7,together,102,0
0.2,0.6,0.37,0.65,8,together,94,0
0.2,0.6,0.37,0.65,9,together,71,0
0.2,0.6,0.37,0.65,10,together,95,0
0.2,0.6,0.37,0.65,11,together,85,0
0.2,0.6,0.37,0.65,12,together,81,0
0.2,0.6,0.37,0.65,13,together,105,0
0.2,0.6,0.37,0.65,14,together,84,0
0.2,0.6,0.37,0.65,15,together,97,0
0.2,0.6,0.37,0.65,16,together,89,0
0.2,0.6,0.37,0.65,17,together,108,0
0.2,0.6,0.37,0.65,18,together,94,0
0.2,0.6,0.37,0.65,19,together,103,0
0.2,0.6,0.34,0.64,0,low-fidelity,74,0
0.2,0.6,0.34,0.64,1,low-fidelity,86,0
0.2,0.6,0.34,0.64,2,low-fidelity,114,0
0.2,0.6,0.34,0.64,3,low-fidelity,96,0
0.2,0.6,0.34,0.64,4,low-fidelity,91,0
0.2,0.6,0.34,0.64,5,low-fidelity,86,0
0.2,0.6,0.34,0.64,6,low-fidelity,82,0
0.2,0.6,0.34,0.64,7,low-fidelity,83,0
0.2,0.6,0.34,0.64,8,low-fidelity,74,0
0.2,0.6,0.34,0.64,9,low-fidelity,95,0
0.2,0.6,0.34,0.64,10,low-fidelity,105,0
0.2,0.6,0.34,0.64,11,low-fidelity,94,0
0.2,0.6,0.34,0.64,12,low-fidelity,72,0
0.2,0.6,0.34,0.64,13,low-fidelity,118,0
0.2,0.6,0.34,0.64,14,low-fidelity,93,0
0.2,0.6,0.34,0.64,15,low-fidelity,94,0
0.2,0.6,0.34,0.64,16,low-fidelity,108,0
0.2,0.6,0.34,0.64,17,low-fidelity,77,0
0.2,0.6,0.34,0.64,18,low-fidelity,89,0
0.2,0.6,0.34,0.64,19,low-fidelity,98,0
0.2,0.6,0.34,0.64,0,high-fidelity,0,63
0.2,0.6,0.34,0.64,1,high-fidelity,0,68
0.2,0.6,0.34,0.64,2,high-fidelity,0,63
0.2,0.6,0.34,0.64,3,high-fidelity,0,67
0.2,0.6,0.34,0.64,4,high-fidelity,0,65
0.2,0.6,0.34,0.64,5,high-fidelity,0,74
0.2,0.6,0.34,0.64,6,high-fidelity,0,71
0.2,0.6,0.34,0.64,7,high-fidelity,0,66
0.2,0.6,0.34,0.64,8,high-fidelity,0,70
0.2,0.6,0.34,0.64,9,high-fidelity,0,66
0.2,0.6,0.34,0.64,10,high-fidelity,0,69
0.2,0.6,0.34,0.64,11,high-fidelity,0,63
0.2,0.6,0.34,0.64,12,high-fidelity,0,64
0.2,0.6,0.34,0.64,13,high-fidelity,0,72
0.2,0.6,0.34,0.64,14,high-fidelity,0,73
0.2,0.6,0.34,0.64,15,high-fidelity,0,67
0.2,0.6,0.34,0.64,16,high-fidelity,0,67
0.2,0.6,0.34,0.64,17,high-fidelity,0,69
0.2,0.6,0.34,0.64,18,high-fidelity,0,70
0.2,0.6,0.34,0.64,19,high-fidelity,0,73
0.2,0.6,0.34,0.64,0,together,114,0
